Pinterest ID,Name,Description,Alt Text,URL
97108935743492336,"Kateryna Sokolova Dining Room Chair - Noom Gropius Dining Cs1 Dedar Karakorum Ukrainian Modern Wool, Wood","Designed by Kateryna Sokolova The Gropius Chair, designed by Kateryna Sokolova, is a striking blend of modernist elegance and ergonomic comfort. Inspired by the Bauhaus movement, it features clean lines, minimalist design, and impeccable craftsmanship. Its hardwood frame ensures durability, and the comfortable seat and supportive backrest provide exceptional comfort. This makes it ideal for both domestic and contract use, offering a perfect blend of style and functionality. The Gropius chair can",a grey chair with two legs and a seat made out of foams on the back,https://i.pinimg.com/736x/c3/1b/5f/c31b5fa5ea5d3ac5b9f421e1de5ee7a3.jpg
88946161385596544,Amelie DP TS Office Chair by Midj - 1 / 1,"The Amelie DP TS Office Chair , designed in 2023 by Roberto Paoli for Midj, was introduced at the 2023 Milan Furniture Fair. It boasts a five star castor base, with a rounded backrest and seat upholstered in either leather, faux leather, or fabric. It is possible to customize back and front of the shell in two different fabrics or colors or choosing a contrasting fabric or color for the front insert of the backrest. As an office chair, it is extremely stylish. As a dining chair, the Amelie offer",two office chairs with wheels on each side and an orange upholstered chair in the middle,https://i.pinimg.com/736x/08/de/32/08de3266319b0f4428aafb431473b518.jpg
242490761179469899,"Chromeo Chair, Piccolo at Design Within Reach","A DWR exclusive, the Chromeo Chair (2022) is Australian designer Sarah Ellison’s first foray into working with metal. Pairing curved chromed tubing with oversized, comfortable bolster cushions, Chromeo is a study in contrasts. Sleek and contemporary, with a wink toward its Bauhaus inspiration, this crisp new classic is offered in texturally rich upholstery. Made in China. | Chromeo Chair, Piccolo at Design Within Reach",a brown chair with metal frame and foot rest,https://i.pinimg.com/736x/91/ba/c8/91bac87c8416df85b08b077d1ce057ea.jpg
442619469671241720,"Bauhaus Chrome & Leather Sofa attributed to Hynek Gottwald, 1930s","Made by Hynek Gottwald, a company credited with being the pioneers of metal furniture. According to the original process, our professional refurbishing team in Czechia has restored and reupholstered the item. The new upholstery is high quality bicast leather, it's very easy to clean and retains its colours very well even in direct sunlight This item features classic Bauhaus design elements. Elements of this style are neutral colors and occasional bright primary colors. Bauhaus designe",a black leather couch sitting on top of a metal frame,https://i.pinimg.com/736x/c3/66/22/c36622b9b5ab96024c886dd1c038f295.jpg
1073686367409411721,Wassily Chair | Knoll,"In 1925, Marcel Breuer was an apprentice at the Bauhaus when he reduced the classic club chair to its elemental lines and forever altered the future of furniture design. He was inspired to work with tubular steel after hearing the material is “bent like macaroni” to make bicycle frames. “I was very much engaged in the transparency of the form,” said Breuer, who, upon recognizing the potential of this lightweight, sturdy, malleable material, knew he could create the furniture he envisioned. An early prototype intrigued his associate Wassily Kandisky, for whom the chair is now named. An original Marcel Breuer design, the frame is stamped with the Knoll logo and designer signature, ensuring lifetime authentication. The 2024 introductions of ultra-matte dark red, onyx, and white reframe the iconic form of this Bauhaus-era chair",a black chair with two legs and a pen in the middle of it's seat,https://i.pinimg.com/736x/87/9c/1d/879c1de636fa5d3336403154cc2060f9.jpg
723812971436654522,"Bauhaus Design Chrome Tubular Steel and Brown Faux Leather Dining Chairs, 1980s","Italian modernist, Bauhaus design tubular chrome and brown faux leather stackable dining or living room chairs. Italian design of the 1980s. Price is per piece. In excellent condition with minimal expected signs of age, as depicted in the photos. All chairs have been re-upholstered in quality brown faux leather seats. Combined shipping is calculated automatically on checkout. Width: 44 cm / 17.32 inches Depth: 44 cm / 17.32 inches Height: 80 cm / 31.50 inches Seat Height: 45 cm / 17.72 inches We try our best to accurately depict any imperfections on our photos. Please feel free to contact us for any additional photos. ---- PACKAGING All of our items are thoroughly cleaned and carefully packed for shipping. It is very important for us that the packaging has the same high-quality standard as the purchased item. Depending on the fragility of the item, packaging can be made in a 5 or 7-layered cardboard box or a wooden crate. Bigger items may be required to ship on crates with pallets. We create custom packages to save unnecessary packaging waste and filling. We use recyclable materials only. SHIPPING We offer premium and insured worldwide shipping. All small and medium sized packages are shipped as premium international air packages or EMS packages through the international state shipping carriers. Large packages and combined orders are shipped with a courier partner (FedEx, DHL, UPS etc.). All shipping costs are automatically calculated during the checkout process. Due to custom packaging, shipping for combined orders is not automatically calculated correctly. Please contact us for for shipping quotes for combined orders, or proceed to order the items after which we will issue a partial refund if the shipping was overpaid. All of our packages are insured or guaranteed for by us, provided that any proof of damage is delivered to us withing 3 days of delivery. Any visible damages on the package must be photographed upon delivery or the insurance policy might not be valid. We aim to ship products within 72 hours of receiving Your order. For bigger items and bulk orders, please allow up to 5-7 business days to safely handle and ship out Your order. We ask that you allow 25 business days for all deliveries. The wait time is likely to be much more shorter (around 7-10 working days for deliveries within the EU/EEA, 7-15 business days for overseas destinations) but we have to say this in case there is a hold up during busier times of the year. Please contact us for shipping upgrades or shipping related inquiries. Our other shipping partners and options include: EMS, FedEx / FedEx freight / FedEx express, DHL / DHL express, Schenker, In time, direct cargo shipping (direct flight to airport) and many more. Overseas customers may incur import duties and taxes, which will be paid by the purchaser. (customers outside EU) WHOLESALE We offer wholesale discount as well as discount on combined orders. We offer many different logistical and transporation solutions for shipping larger orders - this includes premium next day deliveries within EU, air charter options, container shipping for large orders, pallet and crate shipping etc.",six chairs in an empty room with no one on the floor or standing around them,https://i.pinimg.com/736x/65/c8/cd/65c8cdd6d76e07e0255962a59f1ae4cb.jpg
442619469677793853,"Mid-Century Bauhaus Visitor Chair MG5 by Mart Stam and Marcel Brauer, Italy, 1980s",Bauhaus mid century Visitor Chair MG5 by mart stam and Marcel Brauer Italy 1980 Bauhaus armchair vintage in cognac red leather and armrest from the 80s Designed by mart stam and Marcel Brauer and manufactured in Italy Dimensions Height 80cm Depth 60cm Width 60cm Seat height 45cm In top good condition without any cuts or scratches on the leather and clean chrome,a red leather chair sitting on top of a white floor next to a metal frame,https://i.pinimg.com/736x/14/ca/58/14ca58c40d6b4dd78e9956fe34db96cc.jpg
785104147575739285,,,a living room with two couches and a coffee table in the middle of it,https://i.pinimg.com/236x/75/06/fe/7506fed5dfbbae33295b9da08c94deec.jpg
605523112436184610,"Bauhaus Design Chrome Tubular Steel and Beige Faux Leather Italian Modernist Dining Chair, 1980s - Etsy","Vintage Italian dining chair in modernist Bauhaus style. Reupholstered in elegant beige ""spotted"" faux leather. Manufactured in Italy in the 1970s. In very good vintage condition with expected signs of age. Slight scratching on the chrome as well as one scratch on the side of the seat frame where the chrome has been chipped. Upholstery brand new. Width: 45 cm / 17.72 inches Depth: 59 cm / 23.23 inches Height: 80.5 cm / 31.69 inches Seat Height: 46 cm / 18.11 inches Weight: 4.8 kg / 10.58 lbs We try our best to accurately depict any imperfections on our photos. Please feel free to contact us for any additional photos. ---- PACKAGING All of our items are thoroughly cleaned and carefully packed for shipping. It is very important for us that the packaging has the same high-quality standard as the purchased item. Depending on the fragility of the item, packaging can be made in a 5 or 7-layered cardboard box or a wooden crate. Bigger items may be required to ship on crates with pallets. We create custom packages to save unnecessary packaging waste and filling. We use recyclable materials only. SHIPPING We offer premium and insured worldwide shipping. All small and medium sized packages are shipped as premium international air packages or EMS packages through the international state shipping carriers. Large packages and combined orders are shipped with a courier partner (FedEx, DHL, UPS etc.). All shipping costs are automatically calculated during the checkout process. Due to custom packaging, shipping for combined orders is not automatically calculated correctly. Please contact us for for shipping quotes for combined orders, or proceed to order the items after which we will issue a partial refund if the shipping was overpaid. All of our packages are insured or guaranteed for by us, provided that any proof of damage is delivered to us withing 3 days of delivery. Any visible damages on the package must be photographed upon delivery or the insurance policy might not be valid. We aim to ship products within 72 hours of receiving Your order. For bigger items and bulk orders, please allow up to 5-7 business days to safely handle and ship out Your order. We ask that you allow 25 business days for all deliveries. The wait time is likely to be much more shorter (around 7-10 working days for deliveries within the EU/EEA, 7-15 business days for overseas destinations) but we have to say this in case there is a hold up during busier times of the year. Please contact us for shipping upgrades or shipping related inquiries. Our other shipping partners and options include: EMS, FedEx / FedEx freight / FedEx express, DHL / DHL express, Schenker, In time, direct cargo shipping (direct flight to airport) and many more. Overseas customers may incur import duties and taxes, which will be paid by the purchaser. (customers outside EU) WHOLESALE We offer wholesale discount as well as discount on combined orders. We offer many different logistical and transporation solutions for shipping larger orders - this includes premium next day deliveries within EU, air charter options, container shipping for large orders, pallet and crate shipping etc. SOURCING We offer sourcing services and operate in most of European countries. For all sourcing inquiries, please send us a message or contact us at info@cherrycargo.eu",a chair that is sitting in the middle of a room with no one around it,https://i.pinimg.com/736x/a7/a5/e8/a7a5e807f60bc40a9560ce5410f0ef0d.jpg
403564816621112420,Living Creatively: Let's Talk Bauhaus: Our Favorite Chairs,Bauhaus Style Chairs,"the different types of chairs are shown in this image, and there is also an info sheet",https://i.pinimg.com/736x/f9/84/c8/f984c886d75ec06c5509c3cf7ec67155.jpg
