Pinterest ID,Name,Description,Alt Text,URL
5066618326814002,NUMBERTWO FAUTEUIL,"NumberTwo Fauteuil Chair designed by Jean Pujol for Rue Interieure. The clear lines and beautiful curves intertwined to create a timeless and sculptural piece. This masterpiece gives comfort and the vibrant color brings a new dimension to the room. The frame is made of steel tubes, with a multitude of welded rods. Each rod bends at a different and precise angle, creating a large and comfortable seat. The simple design and the elegant finish adds beauty to the chair. The lightweight makes it easy to handle and move the chair easily. The back of the Fauteuil is juxtaposed with the base, like a dynamic vector conveying a sense of movement. Contact us for more metal and leather finishes.  DIMENSIONS: W 31  x D 27  x H 26 in W 78.74  x D 68.58  x H 66.04 cm LEADTIME: Most  Rue Interieure products are made-to-order with a lead time of 8-10 weeks.",a chair with blue cushions sitting on top of it,https://i.pinimg.com/736x/fb/bb/44/fbbb4426e0e72635c5ac468cbc97cf50.jpg
448178600435565496,"Uplift Guest Chair: Considered, Elegant, Unique","Uplift, designed by Alyssa Coletti, is an accent piece that truly defines the meaning of “guest"" chair.",two chairs sitting next to each other in front of curtains,https://i.pinimg.com/736x/1e/42/41/1e4241a2b8e6d14a90ad442980484653.jpg
99853316732541459,Accent Chairs For Dining Room Table,,different types of chairs with names on them,https://i.pinimg.com/736x/b4/1f/85/b41f8581e4c93e41bfe4a3d3f3ad86c9.jpg
1003739835691140917,Leibal — Ert,"Minimalist ert chair: a De Stijl-inspired design with clean lines, reimagined in bold cerlacca hue.",a wooden table and chair sitting on top of a white floor next to each other,https://i.pinimg.com/736x/9a/b6/93/9ab69306406aa52403230ce0e1a38be6.jpg
793970609344342334,Art From Nature Ideas,"Introducing the Mycelium Chair: a fusion of nature and design. With its organic shape and sustainable materials, it brings the beauty of fungi into your space. Conceptual AI Art Follow @ecosapiens for more!",an unusual chair and footstool made out of wood with white fabric on it,https://i.pinimg.com/736x/06/02/a2/0602a2f9242d0c08f532e03b90a6d0d6.jpg
918875130201153860,Joris Poggioli – die neue Kollektion des französisch-italienischen Designers ist eine Hommage an die Liebe,"Archaische Formen und dolce vita: Mit „Enamorados“ präsentiert Designer Joris Poggioli eine Möbelkollektion, die ebenso urwüchsig wie zeitlos erscheint – und ein bisschen romantisch.",an orange glass table sitting on top of a white floor next to a gray wall,https://i.pinimg.com/736x/fd/95/24/fd9524b001620c8809024c5235f98ddf.jpg
324892560631332863,Chaise originale : 27 assises au design atypique,Chaise originale : 26 assises au design atypique,a blue chair sitting on top of a white floor,https://i.pinimg.com/736x/a8/1a/80/a81a80f1bbd55f7d90fe91e8b9b1ecb7.jpg
2674081024914736,Midcentury Modern Contemporary,,a brown leather chair sitting on top of a wooden base,https://i.pinimg.com/736x/e2/78/cb/e278cbecc5d9e9a15308eaf8e8281d61.jpg
593490057163509590,Alexandre Caldas Designs Portuguese Roots Lounge Chair for AROUNDtheTREE,"The Portuguese Roots Lounge Chair is one of their finest chairs. Designed by Alexandre Caldas, it is a minimalist upholstered wood chair embodying a deep sense of Scandinavian design and style.",two different angles of a wooden chair with blue fabric on the seat and back side,https://i.pinimg.com/736x/f6/20/e8/f620e82e2644b08aa0575d92c0c20acb.jpg
413909022014168093,Mazz Boucle Dining Chair by Leanne Ford + Reviews | Crate & Barrel,"Our Mazz dining chair puts comfort and cool factor into contemporary design. Playful proportions take shape in the ultra-slim wood legs and oversized, tubular cushion that flows seamlessly from arm to back. Designed for comfort as well as eye-popping good looks, the chair relaxes with a generous, well-cushioned seat and luxe bouclé upholstery. Curated and crafted around the world, our first furniture and design collaboration with design star Leanne Ford brings her cool, effortless vibe home…","a white chair with a wooden frame and armrests, on a white background",https://i.pinimg.com/736x/fe/a4/bc/fea4bc6cf91b5868621b176e457f51d8.jpg
70720656642354009,The Best of Milan Design Week 2018 — Part IV - Sight Unseen,"Featuring Dimore's enormous, flower-filled vitrine, Hay's takeover of Atelier Clerici, the outstanding Lina Bo Bardi show at Nilufar Depot, and more.",a metal chair sitting on top of a cement floor,https://i.pinimg.com/736x/47/bc/f0/47bcf0bcf4ff02e72ffd2c16205e974b.jpg
418905202847769891,Stylish Vincent Sheppard chair,"Modern, elegant and comfortable outdoor lounge chair in outdoor weave. The Frida lounge chair is a real eye-catcher for any terrace. Thanks to its natural teak frame, Frida will turn into a silvery grey which will contrast beautifully with the anthracite acrylic rope. Vincent Sheppard chair; modern outdoor seating ideas; retro wooden patio furniture",two chairs sitting next to each other on a white floor,https://i.pinimg.com/736x/3a/cb/ef/3acbef179a84b1c951022bd01f9efde0.jpg
1010354497632984468,20 of the best timeless wooden dining chairs | These Four Walls,"Choosing a dining chair can be tricky. Here are 20 beautiful and timeless wooden chairs that are unlikely to ever date, along with my top tips...",the different types of chairs and their names,https://i.pinimg.com/736x/f9/0d/a6/f90da631abf6cfbb454bf44229757c75.jpg
342906959146364268,Noa chair – Enea,"This is the story of a chair that spent its first few months of life in a dining room and has now been moved to that corner of the hall, where it looks magnificent. Now it’s ready for whoever wants to look at it and use it. That’s modern life: flexible, dynamic, with fewer rules. And we absolutely love it! Designed by @EstudiManelMolina.",a chair sitting in front of a concrete wall with the sun shining on it's side,https://i.pinimg.com/736x/65/22/59/652259f6af2ae059435d24324205c0f5.jpg
415175659419304291,Chassis Black Ash Solid Wood Armchair and Orange Fabric Upholstery,"Elegantly crafted from robust Black Ash wood and featuring a luxurious seat adorned in vibrant dark orange fabric, this distinguished armchair marries iconic design with meticulous craftsmanship. Its slender armrests and the open space beneath impart a sense of lightness and sophistication, elevating its timeless allure. With customizable wood finishes and upholstery in fabric or leather, this piece embodies versatility and sophistication, complementing any decor or personal style.","an orange chair with black legs and arms on white background, it is designed to look like a bent armrest",https://i.pinimg.com/736x/8d/5c/d1/8d5cd1d876f68313caf21d2248d2b1e7.jpg
361484307610213931,Sedie di design: 10 modelli premiati per qualità progettuale e produttiva - Cose di Casa,"Una rassegna con 10 sedie di design (più un prototipo), premiate per bellezza e intelligenza dalle giurie internazionali dei concorsi più rinomati.",a grey chair sitting on top of a white floor next to a potted plant,https://i.pinimg.com/736x/6d/3e/c3/6d3ec3e17ccc17d493239d9d3d729bb0.jpg
45528646227187314,Emerson Office Chair,"Embrace mid-century modern elegance with this office chair adorned in a dusty blue velvet corduroy upholstery. The button detailing adds a touch of sophistication, complemented by the brushed gold arms, base, and caster wheels. The chair offers comfort with a tall back, padded armrests, and a 360 swivel seat for ease of movement. Mid-century modern design Soft velvet corduroy fabric Padded armrests 5-spoke brushed gold base Gold-accented caster wheels 360 swivel Assembly required",a blue office chair sitting on top of a rug,https://i.pinimg.com/736x/9a/a0/ea/9aa0ea55ca86b23d71c5dc6ac34091a2.jpg
282389839130995669,Organic Chair,,"an image of a wooden object that looks like a curved piece of wood, with different angles",https://i.pinimg.com/736x/80/20/ca/8020ca2a9605b8860a59a297040fbd72.jpg
