Pinterest ID,Name,Description,Alt Text,URL
146296687892945803,Eames Lounge Chair - Lounge Chair (without ottoman) / Polished Aluminium / White Pigmented Walnut / Olive Premium Leather (L50),"The iconic Eames Lounge Chair by Vitra was originally designed by husband and wife duo Charles and Ray Eames in 1956 as a birthday present for filmmaker Billy Wilder. Their inspiration came from one question ‘Why don’t we make an updated version of the old English club chair?’ With this comment, Charles Eames initiated the development of the Lounge Chair. The aim was to satisfy the desire for an amply proportioned chair that combined ultimate comfort with the highest quality materials and craftsmanship to provide the highest level of seating pleasure possible.This supremely comfortable lounge chair has cushioned leather seat pads and a wood veneered plywood shell on aluminium supports and a die-cast aluminium base. All chairs are supported by a five-pointed die-cast aluminium base with a b","an eames lounge chair and ottoman in a living room with white walls, wood floors and rugs",https://i.pinimg.com/736x/d1/dd/cc/d1ddccdb70c33de5e939161b849ee72d.jpg
77264949868531280,Vitra Tip Ton RE Chair in White,"The unique and contemporary design of the Tip Ton RE Chair from Vitra brings modern style to any space. And it doesn't just look great - its innovative forward tilt position also helps with proper posture, providing ergonomic seating that will help keep you comfortable while working or relaxing. It's available in multiple colors and can be stacked if needed - up to eleven chairs high if you're using it on a dolly. Finally, Tip Ton is 100% recyclable, making it a great choice for anyone looking for an environmentally responsible option. Highlights Stackable for easy storage when not in use Suitable for indoor and outdoor use 100% Recyclable at end of life cycle Greenguard Gold certified for indoor air quality and safety Vitra Tip Ton RE Chair in White",a black chair sitting on top of a white floor,https://i.pinimg.com/736x/18/23/07/182307cbeb89debbd374f192a06c0ec8.jpg
146296687893359574,Standard Chair - Black Pigmented Walnut / Japanese Red,"The Vitra Standard chair was originally designed by Architect Jean Prouvé in 1934 for the University of Nancy in France. It was engineered for longevity with a robust plywood seat and back and thick tubular rear legs to widely spread the weight of the user to the floor. In creating the Standard chair Prouvé made not only one of the most recognisable pieces of mid century design, but also defined an aesthetic approach which informs much of his furniture. Available with three different moulded plywood seat and back finishes and a variety of base colours. The Standard chair is also available with a coloured plastic seat and back - the Standard SP Chair.Jean Prouvé (1901-84) was a self-taught French architect, engineer and furniture maker. Prouvé believed that design was a moral issue. He cham","an open kitchen and dining room area with wooden tables, chairs, and cabinets in the background",https://i.pinimg.com/736x/4f/91/b7/4f91b7c251e9a87970ac67150737c7e5.jpg
242490761180440817,"Prouvé Fauteuil Direction, Brandy at Design Within Reach","With its distinctive lines and captivating mix of materials, Jean Prouvé’s 1951 armchair, the Fauteuil Direction, demonstrates his signature aesthetic – a commitment to utility that doesn’t sacrifice beauty. Building on the iconic shape of his Standard Chair (1934), the Fauteuil’s steel triangular back legs bear the brunt of the weight and its lithe tubular front legs handle the rest. The gently curved, upholstered seat and back conform comfortably to the body, while solid wood armrests offer wa","a brown and blue chair with a wooden seat on the armrest, in front of a white background",https://i.pinimg.com/736x/2b/32/85/2b3285199febaa581bacb08b5a43f4a9.jpg
442619469668292941,Verner Panton for Vitra White Panton Chair with Side Stool - 2 Pieces,"White Panton chair by Verner Panton for Vitra with Side Stool Captivated by the potential of plastic, Danish designer Verner Panton created the first single-form injection-molded chair, which was originally manufactured by Vitra for Herman Miller in 1967. Cantilevered into a sinuous S, the chair is easily stackable. Dimensions Height: 33.5 Width: 19 Depth: 24 Seat height: 17.25 Chair is available with a stool by Williams Sonoma.",a white chair sitting on top of a cement floor next to a wall in the sun,https://i.pinimg.com/736x/1e/e9/e0/1ee9e00f07b18c8c7dfa9e9037264edd.jpg
146296687893359114,Panton Chair - White,"The Panton Chair is an icon of twentieth-century design and probably the most famous cantilevered chair of all time. Conceived by Verner Panton in 1960, the Panton chair was developed for serial production in collaboration with Vitra in 1967. It's aesthetically graceful curves and highly comfortable seating position have led to numerous international design awards, inclusion in the collections of many prominent museums and a global fan base. Panton Chair was the first entirely plastic chair produced in a single piece. Since its introduction, Panton Chair has gone through a number of production phases. Only today can it be produced according to the original idea – from solid-coloured, hard-wearing plastic with a matt-finished surface. It is available in a choice of bold and subdued colours.",two white chairs sitting on top of a wooden deck next to a table with candles,https://i.pinimg.com/736x/f3/fc/90/f3fc9009037321cebe9035438fc657d9.jpg
442619469679985741,Set of Soft Pink Chairs by Verner Panton for Vitra,"Set of Soft Pink Chairs by Verner Panton for Vitra, in Flawless conditions. Designed 1960 to 1969 This piece has an attribution mark, I am sure that it is completely authentic and take full responsibility for any authenticity issues arising from misattribution","two plastic chairs sitting next to each other on a white surface, one pink and the other green",https://i.pinimg.com/736x/49/97/e2/4997e250e7aaaf6fb256aafd11bc62f7.jpg
146296687889969277,Eames Lounge Chair Wood (LCW) - Black Pigmented Walnut,The Eames LCW (Lounge Chair Wood) Chair by Vitra is a compact but supremely comfortable lounge chair. Its small proportions allow the chair to fit and provide high comfort in spaces where others could simply not work. The sloping seat invites the user to sink into the chair where the organic contoured shape is ready to support you in the most ergonomic way. A rubber connection between the back and the frame brings an unexpected flexibility and additional comfort to this distinctive chair. From t,a wooden chair sitting in front of a window next to a table with books on it,https://i.pinimg.com/736x/10/e3/b8/10e3b8c074d5b6f28cffa7ad234c4a51.jpg
4362930883515199,Verner Panton Chair produced by Vitra | hive,"""Most people spend their lives living in dreary, beige conformity, mortally afraid of using color. The main purpose of my work is to provoke people into using their imagination and make their surroundings more exciting."" -Verner Panton Created by Verner Panton in 1960, and with the assistance of Vitra technicians a version was finally ready for series production in 1967. The Panton Chair is the very first ever to be constructed from one continuous piece of material. Since its market launch, the Panton Chair has undergone several production phases. Not until today was it possible to produce it in line with Panton's original idea, namely from consistently dyed, tough plastic with a matt surface and an affordable price. The Panton Chair has won various design awards world-wide and graces the collections of numerous renowned museums. Its expressive shape makes it a true 20th-century design icon. The chair offers great seating comfort thanks to the cantilever base, together with its shape and flexible materials. It can be used on its own or in groups. Panton chairs are a solid plastic chair made in a single mold finished with a matt surface. Please note that special added additives slow down the fading process caused by ultraviolet rays. However, leaving the chair exposed to the sun for an extended period of time can result in color changes. We recommend not leaving the chair in the sun. Quick-ship options: - white & black",a purple chair sitting on top of a white floor next to a black object in the background,https://i.pinimg.com/736x/8b/4c/ea/8b4ceaf233c778cee33690327cdf4225.jpg
1107955945828275861,Classic Verner Panton Chair for Vitra | hive,"In the early sixties, the Danish Designer Verner Panton together with the Vitra Development Team, realised an idea which had preoccupied him for many years by producing a plastic chair from a single moulding. In 1967, the Panton Chair went into mass production, it was immediately regarded as a sensation and won many awards. One of the first chairs is exhibited in the Museum of Modern Art, New York. Today the Panton Chair belongs to the classics of modern furniture design. The ""classic"" version is a limited production high-gloss material version made under close supervision of the Panton Estate and the original Vitra development team.","In the early sixties, the Danish Designer Verner Panton together with the Vitra Development Team, realised an idea which had preoccupied him for many years by producing a plastic chair from a single moulding. In 1967, the Panton Chair went into mass production, it was immediately regarded as a sensation and won many awards. One of the first chairs is exhibited in the Museum of Modern Art, New York. Today the Panton Chair belongs to the classics of modern furniture design. The ""classic"" version is a limited production high-gloss material version made under close supervision of the Panton Estate and the original Vitra development team.",https://i.pinimg.com/736x/3e/dc/2a/3edc2aaa3f34dcc393c1cbaea48d19e0.jpg
